Dublin Core:Title,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Date,Dublin Core:Coverage,Dublin Core:Source,Dublin Core:Format,Dublin Core:Type,Dublin Core:Subject,Dublin Core:Rights,Dublin Core:Identifier,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:URL
Presbyterian Church,Presbyterian Church Destroyed by fire,Wilcox Photo Studio ,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.51 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0035,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0035.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0036,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0036.jpg
Zahier House,"Front porch of Alpha Kappa Phi Sorority. The Agonian Sorority. verso: Jean Di Martino, Donna Paul, Deane Green",Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 18.12 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0037,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0037.jpg
,verso: Pete Mapes,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0038,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0038.jpg
The Brick Tower,Alpha Delta Epsilon sorority house,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 15.72 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0039,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0039.jpg
,,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 15.94 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0040,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0040.jpg
The Brick Tower,Alpha Delta Epsilon sorority house,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.84 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0041,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0041.jpg
Women's Rooming House,,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0042,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0042.jpg
House,,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0043,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0043.jpg
House,71 Center St. Geneseo,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0044,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0044.jpg
House,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 17.34 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0045,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0045.jpg
House,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 15.78 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0046,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0046.jpg
Men's Fraternity House,,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0047,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0047.jpg
,Snow sculpture,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 11.20 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0048,photograph; polaroid; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0048.jpg
,Snow sculpture,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 11.20 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0049,photograph; polaroid; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0049.jpg
,Snow sculpture,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 11.20 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0050,photograph; polaroid; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0050.jpg
,verso: Geo. Teall's,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.06 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0051,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0051.jpg
,verso: Geneseo Looking west from near of Dorell Parking lot at right,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.45 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0052,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0052.jpg
,verso: Geneseo Looking past 1st House to be acquired for Dormitory site at slop from upper campus to Elizabeth Street,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.61 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0053,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0053.jpg
,verso: Slope from rear of Dormitory down to Elizabeth St.,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0054,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0054.jpg
,verso: Second House on Elizabeth street to be acquired for Dormitory site.,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0055,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0055.jpg
,,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.08 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0056,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0056.jpg
,verso: Looking down slope from Parking lot toward Elizabeth St,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.39 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0057,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0057.jpg
,verso: Showing Sinduis road from rear of dormitory down to Elizabeth street,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.39 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0058,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0058.jpg
,verso: Looking down slope from Parking lot toward Elizabeth St,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.39 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0059,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0059.jpg
The Brick Tower,Alpha Delta Epsilon sorority house,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.13 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0060,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0060.jpg
The Brick Tower,Alpha Delta Epsilon sorority house,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.62 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0061,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0061.jpg
,verso: From Elizabeth street looking up slope on site of new Dorm,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0062,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0062.jpg
,verso: Showing slope from parking lot down to Elizabeth Street,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0063,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0063.jpg
,verso: Bedy #11 (Dormitory) Roof over west end.,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0064,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0064.jpg
,1st house on Elizabeth street to be acquired for Dorm Site,Unknown,9/26/1955,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0065,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0065.jpg
House,Front of Alpha Kappa Phi Sorority. The Agonian Sorority.,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0066,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0066.jpg
Maple Beach Inn,"North view, Maple Beach Inn, Conesus Lake ","Balding, John",,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.45 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0067,postcard; sepia,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0067.jpg
