Title,Description,Creator,Date,Source,Format,Type,Subject,Rights,Identifier,ItemType Metadate: Original Format,ItemType Metadate: Physical Dimensions
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 16.12 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0635,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.61 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0636,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.77 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0637,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0638,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0639,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0640,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.49 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0641,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.58 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0642,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.08 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0643,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.08 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0644,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.34 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0645,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0646,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0647,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0648,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0649,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0650,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.66 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0651,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0652,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0653,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.33 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0654,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0655,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.99 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0656,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.87 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0657,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0658,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.28 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0659,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.81 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0660,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0661,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.25 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0662,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.01 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0663,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.26 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0664,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.42 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0665,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.42 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0666,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 31.28 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0667,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0668,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 27.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0669,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.64 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0670,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.64 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0671,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 30.89 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0672,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.26 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0673,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0674,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.66 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0675,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.35 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0676,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.17 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0677,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.12 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0678,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.33 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0679,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.33 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0680,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0681,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.36 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0682,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0683,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0684,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0685,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0686,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0687,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0688,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.04 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0689,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.00 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0690,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 11.87 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0691,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 11.87 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0692,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.00 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0693,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.34 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0694,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.38 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0695,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.04 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0696,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.04 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0697,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.00 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0698,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.99 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0699,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.51 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0700,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.51 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0701,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.99 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0702,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.64 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0703,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.12 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0704,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.45 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0705,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.04 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0706,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.91 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0707,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.81 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0708,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.06 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0709,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.96 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0710,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.96 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0711,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.86 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0712,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.19 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0713,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.95 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0714,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.06 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0715,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.06 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0716,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.77 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0717,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.66 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0718,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.79 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0719,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.29 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0720,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.29 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0721,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0722,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0723,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0724,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 27.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0725,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 75.53 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0726,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.27 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0727,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.68 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0728,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.27 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0729,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.27 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0730,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.27 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0731,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.18 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0732,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.40 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0733,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 13.89 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0734,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.00 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0735,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.56 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0736,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0737,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0738,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0739,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.44 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0740,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.21 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0741,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.21 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0742,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0743,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0744,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.43 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0745,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0746,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 27.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0747,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 27.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0748,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.01 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0749,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.34 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0750,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.19 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0751,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0752,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0753,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0754,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.99 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0755,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 26.88 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0756,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 30.18 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0757,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 26.18 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0758,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.06 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0759,,
